frame number
443 0
495 0
547 0
599 0
651 0
704 0
756 0
808 0
860 0
913 0
965 0
999 0
1017 0
1069 0
1121 0
1173 0
1226 0
1278 0
1330 0
1382 0
1436 0
1487 0
1541 0
1593 0
1645 0
1698 0
1750 0
1802 0
1855 0
1906 0
1959 0
2000 0
2011 0
2063 0
2115 0
2169 0
2220 0
2272 0
2325 0
2377 0
2429 0
2481 0
2533 0
2585 0
2638 0
2690 0
2742 0
2794 0
2846 0
2898 0
2951 0
3000 0
3003 0
3056 0
3107 0
3160 0
3212 0
3263 0
3316 0
3369 0
3421 0
3474 0
3525 0
3578 0
3630 0
3682 0
3734 0
3786 0
3838 0
3891 0
3943 0
3995 0
4047 0
4100 0
4152 0
4204 0
4256 0
4308 0
4361 0
4413 0
4465 0
4518 0
4570 0
4622 0
4675 0
4727 0
4779 0
4832 0
4884 0
4936 0
4988 0
5040 0
5093 0
5145 0
5197 0
5249 0
5302 0
5354 0
5406 0
5459 0
5510 0
5562 0
5614 0
5667 1
5719 0
5771 0
5824 0
5876 0
5928 0
5980 0
6032 0
6085 0
6137 0
6190 0
6242 0
6295 0
6347 0
6399 0
6452 0
6504 0
6556 0
6608 0
6661 0
6713 0
6765 0
6817 0
6869 0
6922 0
6975 0
7000 0
7027 0
7079 0
7131 0
7183 0
7235 0
7287 0
7340 1
7392 1
7444 0
7496 0
7548 0
7600 0
7653 0
7705 0
7757 0
7809 0
7862 0
7914 0
7966 0
8000 0
8018 0
8070 1
8123 0
8175 0
8227 0
8279 0
8331 0
8384 0
8436 0
8488 0
8541 0
8593 0
8645 0
8697 0
8750 0
8802 0
8854 0
8906 0
8959 0
9000 0
9063 0
9115 0
9167 0
9220 1
9273 0
9325 0
9377 0
9429 0
9482 0
9533 0
9586 0
9638 0
9690 0
9742 0
9795 0
9847 0
9899 0
9951 0
10000 0
10003 0
10056 0
10108 0
10160 0
10212 0
10265 0
10318 0
10369 0
10421 0
10473 0
10526 0
10578 0
10630 0
10682 0
10734 0
10786 0
10839 0
10891 0
10943 0
10996 0
11048 0
11100 1
11153 0
11204 0
11256 0
11311 1
11363 1
11416 0
11468 0
11520 0
11573 0
11625 0
11677 0
11729 1
11781 1
11833 0
11885 0
11938 0
11990 0
12042 0
12094 0
12147 0
12199 0
12251 0
12303 0
12355 0
12407 0
12460 0
12512 1
12564 1
12617 0
12669 0
12721 0
12773 0
12826 0
12878 0
12930 0
12982 0
13034 0
13087 0
13139 0
13191 0
13243 0
13295 0
13348 0
13400 0
13452 0
13504 0
13557 0
13609 0
13661 0
13713 0
13766 0
13818 0
13870 0
13922 0
13975 0
14001 0
14027 0
14079 0
14131 1
14184 1
14236 0
14288 0
14340 0
14393 0
14445 0
14497 0
14550 0
14602 0
14654 0
14706 0
14758 0
14810 0
14862 0
14914 0
14967 0
15001 0
15019 0
15071 0
15124 0
15176 0
15228 0
15280 0
15332 0
15385 0
15437 0
15489 0
15541 0
15593 0
15645 0
15698 0
15750 0
15803 0
15855 0
15907 0
15960 0
16001 0
16012 0
16066 0
16117 0
16169 0
16221 0
16274 0
16326 0
16378 0
16431 0
16483 0
16535 0
16587 0
16640 0
16692 0
16744 0
16796 0
16849 0
16901 0
16953 0
17001 0
17057 0
17110 0
17161 0
17214 0
17266 0
17318 0
17371 2
17423 0
17475 0
17527 0
17579 0
17631 0
17684 0
17736 0
17788 0
17841 0
17893 0
17946 0
17998 0
18051 0
18103 0
18155 0
18207 0
18260 0
18312 0
18364 0
18416 0
18468 0
18520 0
18573 0
18625 0
18677 0
18729 0
18781 0
18834 0
18886 0
18938 0
18991 0
19043 0
19096 0
19147 0
19200 0
19252 0
19304 0
19356 0
19409 0
19460 0
19513 0
19565 0
19617 0
19670 0
19722 0
19775 0
19826 0
19878 0
19931 0
19983 0
20002 0
20035 0
20087 0
20139 0
20192 0
20244 0
20296 0
20348 0
20401 0
20452 0
20505 0
20557 0
20610 0
20662 0
20714 0
20766 0
20819 0
20871 0
20923 0
20975 0
21002 0
21027 0
21079 0
21132 1
21184 0
21237 0
21289 0
21341 1
21394 1
21446 0
21498 0
21550 0
21602 0
21655 0
21707 1
21759 1
21812 0
21864 0
21916 0
21968 1
22002 0
22021 0
22073 0
22125 0
22178 0
22230 0
22283 0
22335 0
22386 0
22439 0
22491 0
22543 1
22596 1
22648 0
22700 0
22752 0
22804 0
22858 0
22909 0
22961 1
23002 0
23013 0
23067 0
23118 0
23170 0
23222 0
23275 0
23327 0
23379 0
23432 0
23484 0
23536 0
23588 0
23641 0
23693 0
23746 0
23798 0
23850 0
23902 0
23954 0
24002 0
24059 0
24111 0
24163 1
24215 1
24268 0
24320 0
24372 0
24425 0
24477 0
24529 0
24581 0
24634 0
24686 0
24738 0
24790 0
24842 0
24895 0
24947 0
24999 0
25052 0
25104 0
25156 0
25208 0
25260 0
25312 0
25365 0
25417 0
25469 0
25521 0
25574 0
25626 0
25679 0
25731 0
25783 0
25836 0
25888 0
25941 0
25993 0
26045 0
26097 0
26150 0
26202 0
26254 0
26307 0
26359 0
26411 0
26464 0
26516 0
26568 0
26620 0
26672 0
26725 0
26777 0
26829 0
26881 0
26934 0
26986 0
27038 0
27090 0
27142 0
27195 0
27247 0
27299 1
27351 1
27404 0
27456 0
27508 0
27560 0
27612 0
27665 0
27717 0
27769 0
27821 1
27874 0
27927 0
27978 0
28002 0
28030 0
28082 0
28134 0
28186 0
28239 0
28291 0
28344 0
28396 0
28448 0
28500 0
28553 0
28605 0
28657 0
28710 0
28761 0
28814 0
28866 0
28919 0
28971 0
29003 0
29023 0
29075 0
29127 0
29180 0
29232 0
29284 0
29336 0
29388 0
29441 0
29493 0
29545 0
29598 0
29650 0
29702 0
29754 0
29807 0
29859 0
29911 0
29963 0
30003 0
30015 0
30067 0
30120 0
30172 0
30224 0
30276 0
30329 0
30381 0
30433 0
30486 0
30538 0
31003 0
